iter,fitness
0,356
1,345
2,345
3,345
4,345
5,323
6,310
7,310
8,310
9,310
10,297
11,294
12,294
13,294
14,294
15,257
16,257
17,257
18,257
19,257
20,257
21,257
22,257
23,257
24,257
25,257
26,257
27,252
28,252
29,252
30,252
31,252
32,252
33,252
34,252
35,252
36,252
37,252
38,252
39,252
40,252
41,252
42,252
43,252
44,252
45,252
46,252
47,252
48,252
49,252
50,252
51,252
52,252
53,252
54,252
55,252
56,252
57,252
58,252
59,250
60,250
61,250
62,250
63,250
64,250
65,250
66,250
67,215
68,215
69,215
70,215
71,215
72,215
73,215
74,215
75,215
76,215
77,215
78,215
79,215
80,215
81,215
82,215
83,215
84,215
85,215
86,215
87,215
88,215
89,195
90,195
91,195
92,195
93,195
94,195
95,195
96,195
97,195
98,195
99,195
100,195
101,195
102,195
103,195
104,195
105,195
106,195
107,195
108,195
109,195
110,195
111,195
112,195
113,195
114,195
115,195
116,195
117,195
118,195
119,195
120,195
121,195
122,195
123,195
124,195
125,195
126,195
127,195
128,195
129,195
130,195
131,195
132,195
133,195
134,195
135,195
136,195
137,195
138,195
139,195
140,195
141,195
142,195
143,195
144,195
145,195
146,195
147,195
148,195
149,195
150,195
151,195
152,195
153,195
154,195
155,195
156,195
157,195
158,195
159,195
160,195
161,195
162,195
163,195
164,195
165,195
166,195
167,195
168,195
169,195
170,195
171,195
172,195
173,195
174,195
175,195
176,195
177,195
178,195
179,195
180,195
181,195
182,195
183,195
184,195
185,195
186,195
187,195
188,195
189,195
190,195
191,195
192,195
193,195
194,195
195,195
196,195
197,195
198,195
199,195
