iter,fitness
0,292
1,292
2,292
3,280
4,280
5,280
6,280
7,280
8,280
9,280
10,280
11,280
12,280
13,280
14,280
15,280
16,280
17,280
18,271
19,271
20,271
21,271
22,271
23,271
24,271
25,271
26,233
27,233
28,233
29,233
30,233
31,233
32,233
33,233
34,233
35,233
36,233
37,233
38,233
39,233
40,233
41,233
42,233
43,233
44,233
45,233
46,233
47,233
48,233
49,233
50,233
51,233
52,233
53,233
54,233
55,233
56,233
57,233
58,233
59,233
60,233
61,233
62,233
63,233
64,233
65,233
66,233
67,233
68,233
69,233
70,233
71,233
72,233
73,233
74,233
75,233
76,233
77,233
78,233
79,233
80,233
81,233
82,233
83,233
84,233
85,233
86,233
87,224
88,224
89,224
90,224
91,224
92,224
93,224
94,224
95,224
96,224
97,224
98,224
99,224
100,224
101,224
102,224
103,224
104,224
105,224
106,224
107,224
108,224
109,224
110,224
111,224
112,224
113,224
114,224
115,224
116,224
117,224
118,224
119,224
120,224
121,224
122,222
123,222
124,220
125,220
126,220
127,220
128,220
129,220
130,220
131,220
132,220
133,220
134,220
135,220
136,220
137,220
138,220
139,220
140,204
141,204
142,204
143,204
144,204
145,204
146,204
147,204
148,204
149,204
150,204
151,204
152,204
153,204
154,204
155,204
156,180
157,180
158,180
159,180
160,180
161,180
162,180
163,180
164,180
165,180
166,180
167,180
168,180
169,180
170,180
171,180
172,180
173,180
174,180
175,180
176,180
177,180
178,180
179,180
180,180
181,180
182,180
183,180
184,180
185,180
186,180
187,180
188,180
189,180
190,180
191,180
192,180
193,180
194,180
195,180
196,180
197,180
198,180
199,180
